genotype,condition,panel,metric,n_mice,mean,sd,sem
IFNg_KO_het,naive,LEFT,morph_roi_area_mm2,1,70.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_tissue_area_mm2,1,13.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_airspace_area_mm2,1,57.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_airspace_fraction,1,0.8142857142857143,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_tissue_fraction,1,0.18571428571428572,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_tissue_to_airspace_ratio,1,0.22807017543859648,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_finepass_coverage_of_roi,1,1.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_direct_um,1,34.44444444444444,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_indirect_um,1,77.77777777777777,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_chord_truncated_fraction,1,0.03225806451612903,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_chord_truncated_length_fraction,1,0.054878048780487805,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_chord_n_total,1,4500.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_direct_h_um,1,34.44444444444444,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_direct_v_um,1,34.44444444444444,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_anisotropy_ratio,1,1.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_septal_thickness_edm_um,1,3.138461055621376,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_septal_thickness_2a_over_b_um,1,4.0625,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_septal_thickness_estimator_ratio,1,0.7725442598452618,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_boundary_length_density_per_um,1,0.09142857142857143,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_surface_density_per_um,1,0.11641047266150059,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_surface_density_mm2_per_mm3,1,116.41047266150059,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_perimeter_total_mm,1,6400.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_airspace_component_count,1,8500.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mean_airspace_component_area_um2,1,6705.882352941177,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mean_airspace_component_eqdiam_um,1,92.40235166978374,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_confluent_airspace_fraction,1,0.12280701754385964,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_airspace_component_density_per_mm2,1,121.42857142857143,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_fractal_box_dimension,1,1.7626610041968005,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_fractal_fit_points,1,5.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_n_region_rows,1,2.0,0.0,0.0
